Título,Semilla,Estado,Frecuencia,Tamaño,Palabras_clave,Materia
IES San Pablo (Sevilla),https://sites.google.com/iessanpablo.es/iessanpablo,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"IES Severo Ochoa (San Juan de Aznalfarache, Sevilla)",https://sites.google.com/iesseveroochoa.org/ies-severo-ochoa/,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"IES Antonio María Calero (Pozoblanco, Córdoba)",https://sites.google.com/site/antoniomariacalero/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Los Álamos (Motril, Granada)",https://sites.google.com/site/ceipalamos/,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Campoameno (Arcos de la Frontera, Cádiz)",https://sites.google.com/site/ceipcampoamenoarcos/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Almerimar (El Ejido, Almería)",https://sites.google.com/site/ceipdealmerimar/home,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP El Retiro (Jerez de la Frontera, Cádiz)",https://sites.google.com/site/ceipelretiro/nuestro-colegio,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Federico García Lorca (Jerez de la Frontera, Cádiz)",https://sites.google.com/site/ceipgarcialorcajerez/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Jerónimo Luis Cabrera (Córdoba),https://sites.google.com/site/ceipjeronimoluisdecabrera/home,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP José Díaz Díaz (Pechina, Almería)",https://sites.google.com/site/ceipjosediazdiaz/,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP La Jara ( Sanlúcar de Barrameda, Cádiz)",https://sites.google.com/site/ceiplajarasanlucar/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP La Mata (Cártama, Málaga)",https://sites.google.com/site/ceiplamatacartama/,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Luis Vives (Jerez de la Frontera, Cádiz)",https://sites.google.com/site/ceipluisvivesjerez/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Maestro José Sabio (Sanlúcar de Barrameda, Cádiz)",https://sites.google.com/site/ceipmaestrojosesabio/home,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Noreña (Córdoba),https://sites.google.com/site/ceipnorenacordoba/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Ntra. Sra. de los Remedios (Bélmez, Córdoba)",https://sites.google.com/site/ceipntrasradelosremedios/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP San José (Espelúy, Jaén)",https://sites.google.com/site/ceipsanjoseespeluy/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP San Juan de Ribera (Bornos, Cádiz)",https://sites.google.com/site/ceipsanjuanderibera/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP San Bonoso y San Maximiano (Arjona, Jaén)",https://sites.google.com/site/ceipsbysm/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Virgen de Gracia (Archidona, Málaga)",https://sites.google.com/site/ceipvirgendegracia/,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
CEIP Alcalde Jiménez Ruiz (Córdoba),https://sites.google.com/site/colegioalcaldejimenezruiz/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
CEIP Araceli Bujalance Arcos (Córdoba),https://sites.google.com/site/colegioaracelibujalancearcos/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Ntra. Sra. de la Salud (Ítrabo, Granada)",https://sites.google.com/site/colegiodeitrabo/,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Francisca Hurtado (Láchar, Granada)",https://sites.google.com/site/colegiolachar/,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Elio Antonio de Nebrija Villamartín, Cádiz)",https://sites.google.com/site/colegionebrija/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Villamena (Villamena, Granada)",https://sites.google.com/site/colegiovillamena/,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"IES Baelo Claudia (Algeciras, Cádiz)",https://sites.google.com/site/iesbaeloclaudia/home,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Beatriz Galindo La Latina (Motril, Granada)",https://sites.google.com/site/ieslalatina/,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"IES Sayena (Gualchos, Granada)",https://sites.google.com/site/instisayena/,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"IES Benalúa (Benalúa, Granada)",https://sites.google.com/site/institutobenalua/,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
CEIP Alfonso Churruca (Córdoba),https://sites.google.com/site/nuevawebdelceipalfonsochurruca/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"IES Ilipa Magna (Alcalá del Río, Sevilla)",https://sites.google.com/site/portaliesilipamagna/home,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"IES San Roque (Dos Torres, Córdoba)",https://sites.google.com/site/sanroqueies/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Vicente Aleixandre (Dos Hermanas, Sevilla)",https://sites.google.com/site/valeixandredh/,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Antonio Gala (Fuente Palmera, Córdoba)",https://sites.google.com/site/webantoniogalasilillos/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
CEIP Manuel Altolaguirre (Sevilla),https://sites.google.com/view/altolaguirre/,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Benafelix (Ubrique, Cádiz)",https://sites.google.com/view/ceipbenafelix/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP El Olivo (Mairena del Aljarafe, Sevilla)",https://sites.google.com/view/ceipelolivo,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Madrigal y Padial (Vélez de Benaudalla, Granada)",https://sites.google.com/view/ceipmadrigalypadial/,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Pura Domínguez (Aljaraque, Huelva)",https://sites.google.com/view/ceippuradominguez/p%C3%A1gina-principal,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Toxiria (Torredonjimeno, Jaén)",https://sites.google.com/view/ceip-toxiria/inicio,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Antonio Machado (Lucena, Córdoba)",https://sites.google.com/view/colegioantoniomachadolucena,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"IES Florencio Pintado (Peñarroya-Pueblonuevo, Córdoba)",https://sites.google.com/view/iesflorenciopintado,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Víctor de la Serna y Espina (Ubrique, Cádiz)",https://sites.google.com/view/victordelasernaubrique/inicio,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Sociedad Musical de Sevilla,https://smdesevilla.com/principal/,Activa,Anual,Mediano,Música / Asociaciones / Sevilla,Música
Sociedad Andaluza de Reumatología,https://soanre.es,Activa,Semestral,Pequeno,Medicina / Reumatología / Asociaciones / Andalucía,Medicina
Sociedad Andaluza de Oftalmología,https://sociedadandaluzadeoftalmologia.es,Activa,Semestral,Pequeno,Medicina / Oftalmología / Asociaciones / Andalucía,Medicina
Sociedad Filarmónica de Málaga,https://sociedadfilarmonicademalaga.com,Activa,Anual,Mediano,Música / Asociaciones / Málaga,Música
Solo Puente Genil.com,https://solopuentegenil.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
El periódico de Sotogrande,https://sotograndedigital.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Cádiz / Andalucía,Prensa
"CEIP Syalis (Fuengirola, Málaga)",https://syalis.jimdofree.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
Museo Cofrade,https://tabernacofrade.net/web/hermandades-y-cofradias/hermandades-y-cofradias-de-cabra/,Inactiva,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Andalucía,Religión
Teatro Municipal de Arahal (Sevilla),https://teatro.arahal.org,Activa,Semestral,Pequeno,Teatros / Instituciones culturales / Granada,Arte
Teatro Góngora (Córdoba),https://teatrocordoba.es/recintos/teatro-gongora/,Activa,Semestral,Pequeno,Teatros / Instituciones culturales / Córdoba,Arte
Teatro Municipal de Armilla (Granada),https://teatrodearmilla.blogspot.com,Activa,Semestral,Pequeno,Teatros / Instituciones culturales / Granada,Arte
Teatro Exiguo (Sevilla),https://teatroexiguo.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Sevilla,Arte
Teatro Moderno de Chiclana (Cádiz),https://teatromoderno.es/w/,Inactiva,Semestral,Pequeno,Teatros / Instituciones culturales / Granada,Arte
"Teatronomía: teatro y educación (Gines, Sevilla)",https://teatronomia.wixsite.com/teatronomia,Activa,Semestral,Pequeno,Teatro / Educación / Compañías teatrales / Sevilla,Arte
Aedo Teatro El (Cádiz),https://teatroparajovenes.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Cádiz,Arte
"IES La Palma (La Palma del Condado, Huelva)",https://ticlapalma.jimdofree.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"Aceite Periana (Periana, Málaga)",https://tienda.aceiteperiana.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Málaga,Alimentaria
"CEIP Profesor Tierno Galván (Vícar, Almería)",https://tiernogalvanvicar.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"Tierra de Frontera (Alcalá la Real, Jaén)",https://tierradefrontera.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Almería,Bebidas
Tierras del Marquesado (Carchelejo Jaén),https://tierrasdelmarquesado.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Jaén,Bebidas
TIF Granada Festival : festival de artes escénicas para la infancia y la familia (Granada),https://tifgranada.com,Activa,Semestral,Pequeno,Teatro / Festivales / Granada,Arte
Tinto noticias: el periódico de la Cuenca Minera,https://tintonoticias.com,Inactiva,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Huelva / Andalucía,Prensa
"Títeres Etcétera (Güéjar Sierra, Granada)",https://titeresetcetera.com,Activa,Semestral,Pequeno,Teatro de títeres / Compañías teatrales / Granada,Arte
"Bodegas Toro Albalá (Aguilar de la Frontera, Córdoba)",https://toroalbala.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Córdoba,Bebidas
Torredelcampo actualidad,https://torredelcampoactualidad.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Jaén / Andalucía,Prensa
Tulamax Teatro (Córdoba),https://tulamaxteatro.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Córdoba,Arte
IES Universidad Laboral (Málaga),https://universidadlaboraldemalaga.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"Utreace S.C.A. (Utrera, Sevilla)",https://utreace.com,Activa,Anual,Mediano,Aceitunas / Aceite de oliva / Industria alimentaria / Cooperativas / Sevilla,Alimentaria
Utrera al día,https://utreraaldia.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
Vagalume Teatro (Granada),https://vagalumeteatro.es,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Granada,Arte
Valhalla hidromiel (Sevilla),https://valhallahidromiel.com/es/,Activa,Anual,Mediano,Hidromiel / Licores / industria de las bebidas / Sevilla,Bebidas
Vega digital : primer diario digital de la Vega del Guadalquivir,https://vegadigital.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
Denominación de origen Sierra de Segura (Jaén),https://ventaceitedosierradesegura.com,Activa,Anual,Mediano,Aceite de oliva / Denominaciones de origen / Jaén,Alimentaria
"Cofradía de la Santa Vera+Cruz (Andújar, Jaén)",https://veracruzandujar.com,Inactiva,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Jaén,Religión
"Denominación de Origen de Málaga,Consejo Regulador D.O. de Málaga",https://vinomalaga.com/consejo-regulador/d-o-malaga/,Activa,Anual,Mediano,Vinos / Denominaciones de origen / Málaga,Bebidas
"Denominación de Origen Pasas de Málaga, Consejo Regulador D.O. Pasas de Málaga",https://vinomalaga.com/consejo-regulador/d-o-pasas-de-malaga/,Activa,Anual,Mediano,Vinos / Denominaciones de origen / Málaga,Bebidas
"Denominación de Origen Sierras de Málaga, Consejo Regulador D.O. Sierras de Málaga",https://vinomalaga.com/consejo-regulador/d-o-sierras-de-malaga/,Activa,Anual,Mediano,Vinos / Denominaciones de origen / Málaga,Bebidas
"Cristina Calvache (Alboloduy, Almería)",https://vinoscristinacalvache.es,Activa,Anual,Mediano,Vinos / Bodegas / Industrias de las bebidas / Almería,Bebidas
"Bodegas Collado (Pueblo Nuevo de Guadiaro, Cádiz)",https://vinotecacollado.com/bodegas/,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"CEIP Virgen del Sol (Tarifa, Cádiz)",https://virgendelsol.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Viva Almuñécar-La Herradura,https://vivaalmunecar.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Granada / Andalucía,Prensa
Viva Cádiz,https://vivacadiz.es,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Cádiz / Andalucía,Prensa
Viva Torremolinos,https://vivatorremolinos.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
Vivir Jaén,https://vivirjaen.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Jaén / Andalucía,Prensa
Vol’e Temps (Granada),https://voletemps.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Granada,Arte
Federación Andaluza de Patinaje,https://web.fapatinaje.org,Activa,Semestral,Pequeno,Asociaciones / Deportes / Patinaje,Deportes
"IES Fernando III (Martos, Jaén)",https://web.iesfernandoiii.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Ntra. Sra. de los Remedios (Ubrique, Cádiz)",https://web.ieslosremedios.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Colegio Oficial de Peritos e Ingenieros Técnicos Industriales de Cádiz,https://web.ingenierosdecadiz.es,Activa,Semestral,Pequeno,Ingeniería industrial / Ingenieros industriales / Asociaciones / Cádiz,Ingeniería
Distrito Sanitario Jaén Nordeste,https://web.sas.junta-andalucia.es/servicioandaluzdesalud/el-sas/servicios-y-centros/informacion-por-centros/31503,Activa,Semestral,Pequeno,Organismos administrativos / Servicios de salud / Jaén,Salud pública
"CEIP Juan XXIII (Puerto Real, Cádiz)",https://webdelcolej23pr.wixsite.com/webceipjuan23,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Ayuntamiento de Isla Cristina,https://wp.islacristina.org,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Huelva,Administración
17 pueblos de Los Pedroches,https://www.17pueblos.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
20 minutos (ed. Andalucía),https://www.20minutos.es/andalucia/,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Andalucía,Prensa
Asociación Andaluza de Hematología y Hemoterapia,https://www.aa-hh.org,Activa,Semestral,Pequeno,Medicina / Hematología / Transfusión / Sangre / Asociaciones / Andalucía,Medicina
Asociación Andaluza de Matronas,https://www.aamatronas.org,Activa,Semestral,Pequeno,Medicina / Matronas / Asociaciones / Andalucía,Medicina
Abengoa,https://www.abengoa.com/web,Activa,Semestral,Pequeno,Ingeniería / Empresas / Andalucía,Ingeniería
Ciudad de Jaén (Jaén),https://www.aceiteciudaddejaen.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Jaén,Alimentaria
"Aceite de Las Valdesas (Puente Genil, Córdoba)",https://www.aceitedelasvaldesas.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
"Aceitera Peninsular Española (Priego de Córdoba, Córdoba)",https://www.aceiterapeninsular.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
"Almazara Campopineda (Piñar, Granada)",https://www.aceitescampopineda.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Granada,Alimentaria
"Aceites Candau (Morón de la Frontera, Sevilla)",https://www.aceitescandau.com/es/,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Sevilla,Alimentaria
"Aceites Candón (Beas, Huelva)",https://www.aceitescandon.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Huelva,Alimentaria
"Aceites de oliva del Sur (Bujalance, Córdoba)",https://www.aceitesdeolivadelsur.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
"Florencio Aguilera (Alcalá la Real, Jaén)",https://www.aceitesflorencioaguilera.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
Hacienda Fuencubierta (Córdoba),https://www.aceitesfuencubierta.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
"Aceites Guadalentín (Pozo Alcón, Jaén)",https://www.aceitesguadalentin.com/olizumo/,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Guadalimar (Castellar, Jaén)",https://www.aceitesguadalimar.com/comprar-aceite-oliva-virgen-extra/,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Aceite Sierra del Oro (Castellar, Jaén)",https://www.aceitesierradeloro.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Jaén,Alimentaria
"Dehesa, La (Jódar, Jaén)",https://www.aceitesladehesa.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Recovera, La (El Viso del Alcor, Sevilla)",https://www.aceiteslarecovera.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Sevilla,Alimentaria
"Melgarejo (Pegalajar, Jaén)",https://www.aceites-melgarejo.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Oleoturismo / Jaén,Alimentaria
"Montevilla (Montefrio, Granada)",https://www.aceitesmontevilla.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Granada,Alimentaria
"Oleobercho (Pegalajar, Jaén)",https://www.aceitesoleobercho.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Jaén,Alimentaria
"Oleonavas (Navas de San Juan, Jaén)",https://www.aceitesoleonavas.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Sociedad Cooperativa Andaluza Nuestra Señora de la Encarnación (Peal de Becerro, Jaén)",https://www.aceitespeal.com/cooperativa/,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Jaén,Alimentaria
"Aceitunas y encurtidos Bravo (Alhaurín el Grande, Málaga)",https://www.aceitunasbravo.com,Activa,Anual,Mediano,Aceitunas / Encurtidos / Industria alimentaria / Málaga,Alimentaria
Roldán aceitunas (Málaga),https://www.aceitunasdemalaga.com,Activa,Anual,Mediano,Aceitunas / Encurtidos / Industria alimentaria / Málaga,Alimentaria
"Aceitunas La Ibérica (Bailén, Jaén)",https://www.aceitunaslaiberica.com,Activa,Anual,Mediano,Aceitunas / Encurtidos / Industria alimentaria / Jaén,Alimentaria
"Aceitunas Losada (Carmona, Sevilla)",https://www.aceitunaslosada.com,Activa,Anual,Mediano,Aceitunas / Industria alimentaria / Sevilla,Alimentaria
"Ochoa encurtidos y aceitunas (Cuevas Bajas, Málaga)",https://www.aceitunasochoa.com,Inactiva,Anual,Mediano,Aceitunas / Encurtidos/ / Industria alimentaria / Málaga,Alimentaria
"Aceitunas Torrent (Aguilar de la Frontera, Córdoba)",https://www.aceitunastorrent.com/es/,Activa,Anual,Mediano,Aceitunas / Industria alimentaria / Córdoba,Alimentaria
"Vegatoro aceitunas y encurtidos (Huetor Tajar, Granada)",https://www.aceitunasvegatoro.com,Activa,Anual,Mediano,Aceitunas / Encurtidos / Industria alimentaria / Granada,Alimentaria
Asociación Cordobesa de Enfermos de Artritis Reumatoide,https://www.acoare.es,Activa,Semestral,Pequeno,Medicina / Enfermedades / Artritis reumatoide / Asociaciones / Córdoba,Medicina
Acuario de Sevilla,https://www.acuariosevilla.es,Activa,Anual,Mediano,Acuarios públicos / Fauna de agua dulce / Sevilla,Zoología
Aeropuerto de Almería,https://www.aena.es/es/aeropuerto-almeria/index.html,Activa,Anual,Mediano,Transportes / Aeropuertos / Organismos administrativos / Almería,Transporte
Aeropuerto de Córdoba,https://www.aena.es/es/aeropuerto-cordoba/index.html,Activa,Anual,Mediano,Transportes / Aeropuertos / Organismos administrativos / Córdoba,Transporte
Aeropuerto Federico García Lorca Granada-Jaén,https://www.aena.es/es/aeropuerto-federico-garcia-lorca-granada-jaen/index.html,Activa,Anual,Mediano,Transportes / Aeropuertos / Organismos administrativos / Granada / Jaén,Transporte
Aeropuerto de Jerez,https://www.aena.es/es/aeropuerto-jerez/jerez.html,Activa,Anual,Mediano,Transportes / Aeropuertos / Organismos administrativos / Cádiz,Transporte
Aeropuerto de Málaga-Costa del Sol,https://www.aena.es/es/aeropuerto-malaga/malaga-costa-sol.html,Activa,Anual,Mediano,Transportes / Aeropuertos / Organismos administrativos / Málaga,Transporte
Aeropuerto de Sevilla,https://www.aena.es/es/aeropuerto-sevilla/index.html,Activa,Anual,Mediano,Transportes / Aeropuertos / Organismos administrativos / Sevilla,Transporte
Agencia de Evaluación de Tecnologías Sanitarias de Andalucía,https://www.aetsa.org,Activa,Semestral,Pequeno,Organismos administrativos / Medicina / Tecnología médica / Evaluación / Andalucía,Salud pública
Ilustre Colegio Territorial de Administradores de Fincas de Cádiz,https://www.afincas.com,Activa,Semestral,Pequeno,Economía / Vivienda / Administradores de Fincas / Asociaciones / Cádiz,Economía
"Agrícola Carmonense (Carmona, Sevilla)",https://www.agricolacarmonense.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Sevilla,Alimentaria
Área de Gestión Sanitaria Norte de Huelva,https://www.agsnh.es,Activa,Semestral,Pequeno,Organismos administrativos / Servicios de salud / Huelva,Salud pública
Área de Gestión Sanitaria Sur de Sevilla,https://www.agssursevilla.org/agsss/,Activa,Semestral,Pequeno,Organismos administrativos / Servicios de salud / Sevilla,Medicina
Ahora Alcalá,https://www.ahoraalcala.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
ahoraGranada,https://www.ahoragranada.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Granada / Andalucía,Prensa
AionSur,https://www.aionsur.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
"Alba viticultores (Sanlúcar de Barrameda, Cádiz)",https://www.albaviticultores.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Alimentaria
Albolote Información,https://www.alboloteinformacion.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Granada / Andalucía,Prensa
Alborán digital,https://www.alborandigital.es,Inactiva,Semanal,Pequeno,Medios de comunicación social / Economía / Periódicos electrónicos / Almería / Andalucía,Prensa
Ayuntamiento de Alcalá de Guadaira (Sevilla),https://www.alcaladeguadaira.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Sevilla,Administración
Ayuntamiento de Alcalá del Río,https://www.alcaladelrio.es/es/,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Sevilla,Administración
Alcalá noticias,https://www.alcalanoticias.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Jaén / Andalucía,Prensa
"Alcalá Oliva (Alcalá la Real, Jaén)",https://www.alcalaoliva.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
Ayuntamiento de Alcaudete,https://www.alcaudete.es/es/,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Jaén,Administración
Alhama.com: diario digital de la comarca de Alhama,https://www.alhama.com/digital/,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Almería / Andalucía,Prensa
La Alhambra y el Generalife,https://www.alhambra-patronato.es,Activa,Unica,Grande,Monumentos / Patrimonio histórico artístico / Patrimonio monumental / Granada,Arquitectura
Alhaurín.com: periódico independiente de Alhaurín de la Torre,https://www.alhaurin.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
Diario Alhaurín,https://www.alhaurindelatorre.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
Aljarafe Digital,https://www.aljarafedigital.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
"Almazara Casa del Águila (Puerto Alto, Jaén)",https://www.almazaradelaguila.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Molino Las Pilas (Olvera, Cádiz)",https://www.almazaralaspilas.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cádiz,Alimentaria
"Aceites Montillana (Montillana, Granada)",https://www.almazaramontillana.com/web/,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Granada,Alimentaria
"Diez+Oro (Diezma, Granada)",https://www.almazaraperpetuosocorro.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Granada,Alimentaria
"Cooperativa Almazara de Ronda (Ronda, Málaga)",https://www.almazararonda.com/web/,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Málaga,Alimentaria
Almería noticias: tu periódico,https://www.almerianoticias.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Almería / Andalucía,Prensa
Ayuntamiento de Almuñecar,https://www.almunecar.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Granada,Administración
Almuñécar comunicación,https://www.almunecarcomunicacion.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Granada / Andalucía,Prensa
"Álvaro Domecq (Jerez de la Frontera, Cádiz)",https://www.alvarodomecq.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Vinagres / Cádiz,Alimentaria
"Bodegas Alvear (Montilla, Córdoba)",https://www.alvear.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Vinagre / Córdoba,Bebidas
Hermandad de la Amargura (Sevilla),https://www.amargura.org,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Sevilla,Religión
Federación Andaluza de Montañismo,https://www.andalucia.org/es/granada-turismo-y-deporte-federacion-andaluza-de-montanismo,Activa,Semestral,Mediano,Asociaciones / Deportes / Montañismo,Deportes
